1;Marlon Brando
2;Tom Hanks
3;Brad Pitt
4;Matt Damon
5;Al Pacino
6;Edward Norton
7;Russell Crowe
8;Joaquin Phoenix
9;Keeanu Reeves
10;Will Smith
11;Ryan Reynolds
12;Martin Lawrence
13;Leonardo Di Caprio
14;Kate Winslet
15;Tom Hardy
16;Bradley Cooper
17;Zach Galifianakis
18;Morgan Freeman
19;Mark Ruffalo
20;Jonah Hill
21;Robert De Niro
22;Robert Downey Jr.
23;Angelina Jolie
24;Joe Pesci
